Link Name,Name and Date,Website Address,Article Link is From
Project Overview: Problems of unknown difficulty,"Cotton-Barratt, Owen. 2015",http://globalprioritiesproject.org/2015/02/project-overview-problems-of-unknown-difficulty/,Doing research
Why focus on neglected tropical disease research?,Giving What We Can. 2016,https://www.givingwhatwecan.org/report/medical-research-1/#2-2-why-focus-on-neglected-tropical-disease-research,Doing research
Scientific research,Open Philanthropy Project. 2016,http://www.openphilanthropy.org/focus/scientific-research,Doing research
Doing good through for-profits: Wave and financial tech,"80,000 Hours. 2016",https://80000hours.org/2016/02/doing-good-through-for-profits-lincoln-quirk-and-wave/,Funding high-impact for-profits
Living Goods,GiveWell. 2014,http://www.givewell.org/charities/living-goods,Funding high-impact for-profits
"To inspire people to give, be public about your giving","Hurford, Peter. 2014",http://effective-altruism.com/ea/7q/to_inspire_people_to_give_be_public_about_your/,Giving publicy
Donation report,"Kaufman, Jeff. 2016",http://www.jefftk.com/donations,Giving publicy
Philanthropy’s success stories,"Karnofsky, Holden. 2012",http://www.openphilanthropy.org/blog/philanthropys-success-stories,Lessons from the history of philanthropy
History of Philanthropy,Open Philanthropy Project. 2016.,http://www.openphilanthropy.org/research/history-of-philanthropy,Lessons from the history of philanthropy
Concept for conor coordination,"Drescher, Denis. 2016",http://claviger.net/concept-for-donor-coordination.html,Philanthropic coordination
Donor coordination and the giver’s dilemma,"Karnofsky, Holden. 2015",http://blog.givewell.org/2014/12/02/donor-coordination-and-the-givers-dilemma/,Philanthropic coordination
The value of coordination,"Todd, Ben. 2016",https://80000hours.org/2016/02/the-value-of-coordination/,Philanthropic coordination
Giving your all,"Landburg, Steven. 1997",http://www.slate.com/articles/arts/everyday_economics/1997/01/giving_your_all.html,Philanthropic diversification
How many causes should you give to?,"Kuhn, Ben. 2014",http://www.benkuhn.net/how-many-causes,Philanthropic diversification
The best reason to give later,"Christiano, Paul. 2013.",https://rationalaltruist.com/2013/06/10/the-best-reason-to-give-later/,Timing of philanthropy
Give now or later,"Cotton-Barratt, Owen and Ben Todd. 2015",http://globalprioritiesproject.org/2015/02/give-now-or-later/,Timing of philanthropy
Good Ventures and giving now vs later,"Karnofsky, Holden. 2015",http://blog.givewell.org/2015/11/25/good-ventures-and-giving-now-vs-later/,Timing of philanthropy
The case for donating now,"Mannino, Adriano & Lukas Gloor. 2014",https://sentience-politics.org/the-case-for-donating-now,Timing of philanthropy
The haste consideration,"Wage, Matt. 2012",https://80000hours.org/2012/04/the-haste-consideration/,Timing of philanthropy
Giving now vs. later: a summary,"Wise, Julia. 2013",http://effective-altruism.com/ea/4e/giving_now_vs_later_a_summary/,Timing of philanthropy
Inducement prizes and innovation,"Brunt, Liam, Josh Lerner & Tom Nicholas. 2012",http://people.hbs.edu/tnicholas/IPI.pdf,Unusual funding models
Why Certificates?,Impact Purchase. 2015,https://impactpurchase.org/why-certificates/,Unusual funding models
Impact Purchase,"Kuhn, Ben. 2015",http://www.benkuhn.net/impact-purchase,Unusual funding models
Good policy ideas that won’t happen (yet),"Bowerman, Niel. 2014",http://effective-altruism.com/ea/7e/good_policy_ideas_that_wont_happen_yet/,Improving policy
Effective altruism’s political blind spot,"Clough, Emily. 2015",https://bostonreview.net/world/emily-clough-effective-altruism-ngos,Improving policy
Should EAs do policy?,"Farquhar, Sebastian. 2016",http://library.fora.tv/2016/08/06/should_eas_do_policy,Improving policy
New UK aid strategy – prioritising research and crisis response,Global Priorities Project. 2015,http://globalprioritiesproject.org/2015/12/new-uk-aid-strategy-prioritising-research-and-crisis-response/,Improving policy
The track record of policy-oriented philanthropy,"Karnofsky, Holden. 2013",http://www.openphilanthropy.org/blog/track-record-policy-oriented-philanthropy,Improving policy
U.S. policy,Open Philanthropy Project. 2016,http://www.openphilanthropy.org/focus/us-policy,Improving policy
Cause profile: Building an effective altruism community,Centre for Effective Altruism. No date.,https://www.effectivealtruism.org/cause-profile-building-an-effective-altruism-community/,Influencing charities
Effective altruism: will donors change their ways?,"Birkwood, Susannah. 2016",http://www.thirdsector.co.uk/effective-altruism-will-donors-change-ways/fundraising/article/1384629,Influencing charities
About us,Charity Science Health. 2016,http://www.charitysciencehealth.com/about.html,Influencing charities
Top charities,GiveWell. 2016,http://www.givewell.org/charities/top-charities,Influencing charities
Charitable giving statistics,National Philanthropic Trust. 2016,https://www.nptrust.org/philanthropic-resources/charitable-giving-statistics/,Influencing charities
What is fossil fuel divestment?,Fossil Free. 2016,http://gofossilfree.org/what-is-fossil-fuel-divestment/,Divestment
Does divestment work?,"Macaskill, Will. 2015",http://www.newyorker.com/business/currency/does-divestment-work,Divestment
When can impact investing create real impact? ,"Brest, Paul & Kelly Born. 2015",https://ssir.org/up_for_debate/article/impact_investing,Impact investing
Acumen Fund and social enterprise investment,"Karnofsky, Holden. 2009",http://blog.givewell.org/2009/11/25/acumen-fund-and-social-enterprise-investment/,Impact investing
"Effective altruism, radical politics and radical philanthropy","Chappell, Richard. 2016",http://www.philosophyetc.net/2016/04/effective-altruism-radical-politics-and.html,Systemic change
Does effective altruism neglect systemic change?,Effective Altruism. 2016,https://www.effectivealtruism.org/faqs-criticism-objections/#does-effective-altruism-neglect-systemic-change,Systemic change
Cause reports - Policy,Open Philanthropy Project. 2016,http://www.openphilanthropy.org/research/cause-reports#Policy,Systemic change
Stop the robot apocalypse,"Srinivasan, Amia. 2015",http://www.lrb.co.uk/v37/n18/amia-srinivasan/stop-the-robot-apocalypse,Systemic change
Effective altruists love systemic change,"Wiblin, Robert. 2015",https://80000hours.org/2015/07/effective-altruists-love-systemic-change/,Systemic change
Cause profile: Building an effective altruism community,Centre for Effective Altruism. No date.,https://www.effectivealtruism.org/cause-profile-building-an-effective-altruism-community/,Influencing individuals
MIRI’s Research Workshops,MIRI. No date.,https://intelligence.org/workshops/,Influencing individuals
Pareto Fellowship,Pareto Fellowship. No date.,http://paretofellowship.org/,Influencing individuals
Animal pain,"Allen, Colin. 2004",http://s3.amazonaws.com/academia.edu.documents/25855368/s1.pdf?AWSAccessKeyId=AKIAJ56TQJRTWSMTNPEA&Expires=1480881727&Signature=tWPFxODBqpTVpX%2F5Q%2BKmkhsGJVY%3D&response-content-disposition=inline%3B%20filename%3DAnimal_pain.pdf,Capacity to feel pleasure and pain
Do bugs feel pain?,"Tomasik, Brian. 2016",http://reducing-suffering.org/do-bugs-feel-pain/,Capacity to feel pleasure and pain
Infinite ethics,"Bostrom, Nick. 2011",http://stafforini.com/docs/Bostrom%20-%20Infinite%20ethics.pdf,Possibility of an infinite universe
Are we living in a computer simulation? ,"Bostrom, Nick. 2003",http://stafforini.com/docs/Bostrom%20-%20Are%20we%20living%20in%20a%20computer%20simulation.pdf,The simulation argument
The future of humanity,"Bostrom, Nick. 2009",http://stafforini.com/docs/Bostrom%20-%20The%20future%20of%20humanity.pdf,Kinds of possible futures
Existential risk prevention as a global priority,"Botrom, Nick. 2012",http://www.existential-risk.org/concept.pdf,Number of future people
Where are they?,"Bostrom, Nick. 2008",https://www.technologyreview.com/s/409936/where-are-they/,The Fermi paradox
"Superintelligence: paths, dangers, strategies","Bostrom, Nick. 2015",[no link],Superintelligence
Friendly artificial intelligence.,Wikipedia. No date.,https://en.wikipedia.org/wiki/Friendly_artificial_intelligence,Superintelligence
Will we eventually be able to colonize other stars?,"Beckstead, Nick. 2011",http://globalprioritiesproject.org/2014/06/will-we-eventually-be-able-to-colonize-other-stars-notes-from-a-preliminary-review/,Interstellar colonization
Some simple ways to check “room for more funding”,"Karnofsky, Holden. 2011",http://blog.givewell.org/2009/12/17/some-simple-ways-to-check-room-for-more-funding/,Room for more funding
Defining Returns Functions and Funding Gaps,"Dalton, Max. 2017",https://www.centreforeffectivealtruism.org/blog/defining-returns-functions-and-funding-gaps/,Room for more funding
Selecting the appropriate model for diminishing returns,"Dalton, Max and Cotton-Barratt, Owen. 2017",https://www.centreforeffectivealtruism.org/blog/selecting-the-appropriate-model-for-diminishing-returns/,Room for more funding
On the concept of “talent-constrained” organizations,"Naik, Vipul. No date.",http://lesswrong.com/lw/jw8/on_the_concept_of_talentconstrained_organizations/,Talent constraints vs. funding constraints
"Why you should focus more on talent gaps, not funding gaps","Todd, Benjamin. 2015",https://80000hours.org/2015/11/why-you-should-focus-more-on-talent-gaps-not-funding-gaps/,Talent constraints vs. funding constraints
The efficiency of modern philanthropy,"Christiano, Paul. 2013",https://rationalaltruist.com/2013/05/05/the-efficiency-of-modern-philanthropy/,Market efficiency of philanthropy
Broad market efficiency,"Karnofsky, Holden. 2013",http://blog.givewell.org/2013/05/02/broad-market-efficiency/,Market efficiency of philanthropy
Impact calculator,Animal Charity Evaluators. 2016,https://animalcharityevaluators.org/research/donation-impact/impact-calculator/,Factory farming
Initial grants to support corporate cage-free reforms,"Bollard, Lewis. 2016",http://www.openphilanthropy.org/blog/initial-grants-support-corporate-cage-free-reforms,Factory farming
Treatment of animals in industrial agriculture,Open Philanthropy Project. 2013,http://www.openphilanthropy.org/research/cause-reports/treatment-animals-industrial-agriculture,Factory farming
Animal product alternatives,Open Philanthropy Project. 2015,http://www.openphilanthropy.org/research/cause-reports/animal-product-alternatives,Factory farming
Why animals matter for effective altruism,"Reese, Jacy. 2016",http://effective-altruism.com/ea/10o/why_animals_matter_for_effective_altruism/,Factory farming
The morality of meat: why eating your vegetables is cruel to animals,"Hanson, Robin. 2002",http://mason.gmu.edu/~rhanson/meat.html,Logic of the larder
Human diets and animal welfare: the illogic of the larder,"Matheny, Gaverick & Kai Chan. 2005",http://www.qalys.org/animal-welfare.pdf,Logic of the larder
Vegan advocacy and pessimism about wild animal welfare,"Shulman, Carl. 2013",http://reflectivedisequilibrium.blogspot.co.uk/2013/07/vegan-advocacy-and-pessimism-about-wild.html,Logic of the larder
How does vegetarianism impact wild-animal suffering?,"Tomasik, Brian. 2016",http://reducing-suffering.org/vegetarianism-and-wild-animals/,Logic of the larder
Quantifying the poor meat eater problem,"Bogossian, Kyle. 2015.",http://effective-altruism.com/ea/rl/quantifying_the_poor_meat_eater_problem/,The meat-eater problem
The meat eater problem: developing an EA response,"Weathers, Scott. 2016",http://effective-altruism.com/ea/ub/the_meat_eater_problem_developing_an_ea_response/,The meat-eater problem
The myth that reducing wild animal suffering is intractable,"Dickens, Michael. 2016",http://mdickens.me/2016/04/22/the_myth_that_reducing_wild_animal_suffering_is_intractable/,Wild animal suffering
The meat eaters,"McMahan, Jeff. 2010",http://opinionator.blogs.nytimes.com/2010/09/19/the-meat-eaters/,Wild animal suffering
Towards welfare biology: evolutionary economics of animal consciousness and suffering,"Ng, Y.-K. 1995",http://www.stafforini.com/txt/Ng%20-%20Towards%20welfare%20biology.pdf,Wild animal suffering
Reducing suffering among invertebrates such as insects,Sentience Politics. 2016.,https://sentience-politics.org/files/reducing-suffering-invertebrates-6.pdf,Wild animal suffering
Wild animal suffering: a bibliography,"Stafforini, Pablo. 2016",http://www.stafforini.com/blog/wild-animal-suffering-a-bibliography/,Wild animal suffering
The importance of wild animal suffering,"Tomasik, Brian. 2016",https://foundational-research.org/the-importance-of-wild-animal-suffering/,Wild animal suffering
How many wild animals are there?,"Tomasik, Brian. 2016",http://reducing-suffering.org/how-many-wild-animals-are-there/,Wild animal suffering
The long-term significance of reducing global catastrophic risks,"Beckstead, Nick. 2015",http://www.openphilanthropy.org/blog/long-term-significance-reducing-global-catastrophic-risks,Global catastrophic risks
Global catastrophic risks 2016,"Cotton-Barratt, Owen et al. 2016",http://globalprioritiesproject.org/2016/04/global-catastrophic-risks-2016/,Global catastrophic risks
Global catastrophic risks,Open Philanthropy Project. 2016,http://www.openphilanthropy.org/research/cause-reports/global-catastrophic-risks/global-catastrophic-risks,Global catastrophic risks
Global catastrophic risks,"Cotton-Barratt, Owen et al. 2016",http://globalprioritiesproject.org/2016/04/global-catastrophic-risks-2016/,Natural existential risks
Existential Risks: Analyzing Human Extinction Scenarios and Related Hazards,"Bostrom, Nick. 2002",http://www.nickbostrom.com/existential/risks.pdf,Non-extinction existential risks
Risks of Astronomical Future Suffering,"Tomasik, Brian. 2016",https://foundational-research.org/risks-of-astronomical-future-suffering/,Non-extinction existential risks
Three areas of research on the superintelligence control problem,"Dewey, Daniel. No date.",http://globalprioritiesproject.org/2015/10/three-areas-of-research-on-the-superintelligence-control-problem/,Existential risks from artificial intelligence
Potential risks from advanced artificial intelligence: the philanthropic opportunity,"Karnofsky, Holden. 2016",http://www.openphilanthropy.org/blog/potential-risks-advanced-artificial-intelligence-philanthropic-opportunity,Existential risks from artificial intelligence
Introductory resources on AI safety research,"Krakovna, Victoria. 2016",https://vkrakovna.wordpress.com/2016/02/28/introductory-resources-on-ai-safety-research/,Existential risks from artificial intelligence
Global catastrophic risks,"Cotton-Barratt, Owen et al. 2016",http://globalprioritiesproject.org/2016/04/global-catastrophic-risks-2016/,Existential risks from biotechnology
Gain-of-function experiments: time for a real debate,"Duprex, Paul et al. 2015",http://www.nature.com/nrmicro/journal/v13/n1/full/nrmicro3405.html,Existential risks from biotechnology
Gain-of-function research: ethical analysis,"Selgelid, Michael. 2016",http://link.springer.com/article/10.1007%2Fs11948-016-9810-1,Existential risks from biotechnology
Probing the improbable: methodological challenges for risks with low probabilities and high stakes,"Ord, Toby, Rafaela Hillerbrand & Anders Sandberg. 2010",http://www.fhi.ox.ac.uk/wp-content/uploads/probing-the-improbable.pdf,Existential risks from fundamental physics research
Global catastrophic risks,"Cotton-Barratt, Owen et al. 2016",http://globalprioritiesproject.org/2016/04/global-catastrophic-risks-2016/,Existential risks from nuclear war
Nuclear weapons policy,Open Philanthropy Project. 2016,http://www.openphilanthropy.org/research/cause-reports/nuclear-weapons-policy,Existential risks from nuclear war
Existential risks: analyzing human extinction scenarios and related hazards,"Bostrom, Nick. 2002",http://www.nickbostrom.com/existential/risks.pdf,Unknown existential risks
How not to be a “white in shining armor”,"Karnofsky, Holden. 2012",http://blog.givewell.org/2012/04/12/how-not-to-be-a-white-in-shining-armor/,Aid and paternalism
The lack of controversy over well-targeted aid,"Karnofsky, Holden. 2016",http://blog.givewell.org/2015/11/06/the-lack-of-controversy-over-well-targeted-aid/,Aid effectiveness
Poverty and shared prosperity 2016: taking on inequality,World Bank. 2016,http://www.worldbank.org/en/publication/poverty-and-shared-prosperity,Economic poverty
GBD Compare | Viz HubYou,Institute of Health Metrics and Evaluation. 2016,http://vizhub.healthdata.org/gbd-compare/,The global burden of disease
"""Improving Institutional Decision-Making”","Whittlestone, Jess. 2017",https://80000hours.org/problem-profiles/improving-institutional-decision-making/,Improving decision-making
Is effective altruism overlooking human happiness and mental health? I argue it is.,"Plant, Michael. 2016",http://effective-altruism.com/ea/yv/is_effective_altruism_overlooking_human_happiness/,Improving mental health and happiness
Mental health,Snowden & Sietzy. 2016,https://www.givingwhatwecan.org/report/mental-health/,Improving mental health and happiness
Estimating the true global burden of mental illness,"Vigo, Thornicroft & Atun. 2016",http://www.thelancet.com/journals/lanpsy/article/PIIS2215-0366%2815%2900505-2/abstract,Improving mental health and happiness
Criminal justice reform,Open Philanthropy Project. 2016,http://www.openphilanthropy.org/focus/us-policy/criminal-justice-reform,Criminal justice reform
Economics and emigration: Trillion-dollar bills on the sidewalk?,"Clemens, Michael A. 2011","http://tmtfree.hd.free.fr/albums/files/TMTisFree/Documents/Economy/Economics%20and%20Emigration.%20Trillion-Dollar%20Bills%20on%20the%20Sidewalk,%202011.%20Michael%20A.%20Clements.pdf",Immigration reform
Open Borders,Open Borders. No date.,http://openborders.info/,Immigration reform
Labor mobility,Open Philanthropy Project. No date.,http://www.openphilanthropy.org/research/cause-reports/labor-mobility,Immigration reform
Let their people come: Breaking the gridlock on global labor mobility,"Pritchett, Lant. 2006",http://www.cgdev.org/sites/default/files/9781933286105-Pritchett-let-their-people-come.pdf,Immigration reform
The domestic economic impacts of immigration,"Roodman, David. 2014",http://davidroodman.com/blog/2014/09/03/the-domestic-economic-impacts-of-immigration/,Immigration reform
How migration liberalization might eliminate most absolute poverty,"Shulman, Carl. 2014",http://reflectivedisequilibrium.blogspot.co.uk/2014/05/how-migration-liberalization-might.html,Immigration reform
Land use reform,"80,000 Hours. 2016",https://80000hours.org/problem-profiles/land-use-reform/,Land use reform
Land use reform,Open Philanthropy Project. 2016,http://www.openphilanthropy.org/research/cause-reports/land-use-reform,Land use reform
Macroeconomic stabilization policy,Open Philanthropy Project. 2016,http://www.openphilanthropy.org/focus/us-policy/macroeconomic-policy,Macroeconomic stabilization
"Economic downturns, universal health coverage, and cancer mortality in high-income and middle-income countries, 1990–2010: a longitudinal analysis","Maruthappu, Mahiben et al. 2016",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(1600577-8/abstract,Macroeconomic stabilization
The fable of the dragon-tyrant,"Bostrom, Nick. 2005",http://www.nickbostrom.com/fable/dragon.html,Anti-aging research
"Estimates of funding for various research, condition, and disease categories (RCDC)",National Institutes of Health. 2016,https://report.nih.gov/categorical_spending.aspx,Anti-aging research
Animal product alternatives,Open Philanthropy Project. 2016,http://www.openphilanthropy.org/research/cause-reports/animal-product-alternatives,Research into animal product alternatives
Cultured meat: an ethical alternative to industrial animal farming,"Rorheim, Adrian, Adriano Mannino, Tobias Baumann & Lucius Caviola. 2016",https://sentience-politics.org/research/policy-papers/cultured-meat/,Research into animal product alternatives
Medical research,Giving What We Can. 2015,https://www.givingwhatwecan.org/cause/medical-research/,Research into neglected tropical diseases
Investigating neglected goals in scientific research,"Karnofsky, Holden. 2015",http://www.openphilanthropy.org/blog/investigating-neglected-goals-scientific-research,Research into neglected tropical diseases
Neglected tropical diseases,World Health Organisation. 2016,http://www.who.int/neglected_diseases/diseases/en/,Research into neglected tropical diseases
Global priorities research,"80,000 Hours. 2016",https://80000hours.org/problem-profiles/global-priorities-research/,Prioritization research
Conversation with Paul Christiano on cause prioritization research,"Stafforini, Pablo. 2014",https://80000hours.org/2014/08/conversation-with-paul-christiano-on-cause-prioritization-research/,Prioritization research
Belief,"Schwitzgebel, Eric. 2015",http://plato.stanford.edu/entries/belief/,Beliefs
I can’t believe I’m stupid,"Egan, Andy & Adam Elga. 2005",http://www.investigacoesfilosoficas.com/wp-content/uploads/Egan-Elga-2005-I-Can%E2%80%99t-Believe-I%E2%80%99m-Stupid.pdf,Credal resilience
The logic of scientific discovery,"Popper, Karl. 1959",http://strangebeautiful.com/other-texts/popper-logic-scientific-discovery.pdf,Credal resilience
"Resiliency, propensities, and causal necessity","Skyrms, Brian. 1977",http://philpapers.org/rec/SKYRPA,Credal resilience
Bayes’ rule,Arbital. 2016,https://arbital.com/p/bayes_rule/?l=1zq,Bayes’ rule
Bayes’ theorem,"Joyce, James. 2003",http://plato.stanford.edu/entries/bayes-theorem/,Bayes’ rule
Bayes’ theorem,Wikipedia. 2016,https://en.wikipedia.org/wiki/Bayes%27_theorem,Bayes’ rule
Base rate fallacy,Wikipedia. 2016,https://en.wikipedia.org/wiki/Base_rate_fallacy,Bayes’ rule
False positive paradox,Wikipedia. 2016,https://en.wikipedia.org/wiki/False_positive_paradox,Bayes’ rule
Peer disagreement,"Blanchard, Thomas & Alvin Goldman. 2015",http://plato.stanford.edu/entries/epistemology-social/#PeeDis,Epistemic disagreement
On treating oneself and others as thermometers,"White, Roger. 2009",http://stafforini.com/docs/White%20-%20On%20treating%20oneself%20and%20others%20as%20thermometers.pdf,Epistemic disagreement
Epistemic permissiveness,"White, Roger. 2016",http://web.mit.edu/rog/www/papers/EP.pdf,Epistemic disagreement
Condorcet's jury theorem,Wikipedia. 2016,https://en.wikipedia.org/wiki/Condorcet%27s_jury_theorem,Epistemic disagreement
Imprecise probabilities,"Bradley, Seamus. 2014",http://plato.stanford.edu/entries/imprecise-probabilities/,Risk and uncertainty
Minimax regret,Wikipedia. 2016,https://goo.gl/zPFMNa,Risk and uncertainty
Decision theory,"Steele, Katie & H. Orri Stefánsson. 2015",http://plato.stanford.edu/entries/decision-theory/,"Acts, states, and outcomes"
Counting on numbers,"Baumann, Peter. 2009",http://stafforini.com/docs/Baumann%20-%20Counting%20on%20numbers.pdf,Bounded and unbounded theories
Pascal's mugging,"Bostrom, Nick. 2009",http://www.nickbostrom.com/papers/pascal.pdf,Bounded and unbounded theories
The St. Petersburg paradox,"Martin, Robert. 2013",http://plato.stanford.edu/archives/sum2014/entries/paradox-stpetersburg/,Bounded and unbounded theories
Causal decision theories,Arbital. 2016,https://arbital.com/p/causal_dt/,Causal and evidential approaches
Causal decision theory,Wikipedia. 2016,https://en.wikipedia.org/wiki/Causal_decision_theory,Causal and evidential approaches
Evidential decision theory,Wikipedia. 2014,https://en.wikipedia.org/wiki/Evidential_decision_theory,Causal and evidential approaches
Risk and rationality,"Buchak, Lara. 2013",http://ndpr.nd.edu/news/56397-risk-and-rationality/,Risk aversion
Salary or startup? How do-gooders can gain more from risky careers,"Shulman, Carl. 2012",https://80000hours.org/2012/01/salary-or-startup-how-do-gooders-can-gain-more-from-risky-careers/,Risk aversion
Does risk aversion give an agent with purely altruistic preferences a good reason to donate to multiple charities?,"Snowden, James. 2015",https://drive.google.com/file/d/0B551Ijx9v_RoMzZrOXZvbG9BMzA/view?usp=sharing,Risk aversion
When should altruists be financially risk-averse?,"Tomasik, Brian. 2016",http://reducing-suffering.org/when-should-altruists-be-financially-risk-averse/,Risk aversion
Ambiguity aversion,Wikipedia. 2016,https://en.wikipedia.org/wiki/Ambiguity_aversion,Risk aversion
The Allais paradox,"Yudkowsky, Eliezer. 2008",http://lesswrong.com/lw/my/the_allais_paradox/,Risk aversion
Moral anti-realism.,"Joyce, Richard. 2015",http://plato.stanford.edu/entries/moral-anti-realism/,Metaethics
Moral naturalism,"Lenman, James. 2006",http://plato.stanford.edu/entries/naturalism-moral/,Metaethics
Moral non-naturalism,"Ridge, Michael. 2014",http://plato.stanford.edu/entries/moral-non-naturalism/,Metaethics
Metaethics,"Sayre-McCord, Geoff. 2012",http://plato.stanford.edu/entries/metaethics/,Metaethics
Moral realism,"Sayre-McCord, Geoff. 2015",http://plato.stanford.edu/entries/moral-realism/,Metaethics
Moral cognitivism vs. non-cognitivism,"Van Roojen, Mark. 2013",http://plato.stanford.edu/entries/moral-cognitivism/,Metaethics
Meta-ethics,Wikipedia. 2016,https://en.wikipedia.org/wiki/Meta-ethics,Metaethics
Consequentialism,"Sinnott-Armstrong, Walter. 2015",http://plato.stanford.edu/entries/consequentialism/,Consequentialism
Consequentialism,Wikipedia. 2016,https://en.wikipedia.org/wiki/Consequentialism,Consequentialism
Deontological ethics,"Alexander, Larry & Michael Moore. 2016",http://plato.stanford.edu/entries/ethics-deontological/,Deontology
Deontological ethics,Wikipedia. 2016,https://en.wikipedia.org/wiki/Deontological_ethics,Deontology
Virtue ethics,"Hursthouse, Rosalind. 2012",http://plato.stanford.edu/entries/ethics-virtue/,Virtue ethics
Virtue ethics,Wikipedia. 2016,https://en.wikipedia.org/wiki/Virtue_ethics,Virtue ethics
Moral particularism,"Dancy, Jonathan. 2013",http://plato.stanford.edu/entries/moral-particularism/,Other moral theories
Care ethics,"Sander-Staudt, Maureen. 2016",http://www.iep.utm.edu/care-eth/,Other moral theories
Moral particularism,"Shiu-Hwa Tsu, Peter. 2016",http://www.iep.utm.edu/morlpat/,Other moral theories
Feminist ethics,"Tong, Rosemarie & Nancy Williams. 2009",http://plato.stanford.edu/entries/feminism-ethics/,Other moral theories
